#procs    time     adapt     lb      mem 
32 2.51686 0.720301 1.39501 786.367
64 1.56673 0.409268 0.92802 687.732
128 0.958542 0.240696 0.598846 732.45
256 0.597507 0.142148 0.386602 709.769
512 0.337949 0.0866297 0.221261 736.439
1024 0.223493 0.0525724 0.156878 791.193
2048 0.168519 0.0371907 0.126231 779.444
4096 0.151968 0.0273709 0.123142 868.004
