#procs    time     adapt     lb      mem 
128 1.81422 0.324619 0.134151 337.435
256 1.08584 0.186694 0.140354 198.518
512 0.642859 0.107179 0.0975633 120.937
1024 0.417636 0.0652011 0.0689934 75.842
2048 0.251513 0.0373029 0.0539996 40.5017
4096 0.222349 0.0283511 0.0447393 39.8415
