#procs    time     adapt     lb      mem 
32 2.66691 0.731701 1.51354 794.281
64 1.70144 0.417678 1.04814 694.693
128 1.05161 0.239892 0.694207 710.254
256 0.678763 0.140773 0.472035 720.826
512 0.450485 0.0882545 0.334637 751.881
1024 0.336011 0.0527152 0.267727 805.24
2048 0.303507 0.0368783 0.258952 819.375
4096 0.334297 0.0284511 0.305123 875.979
