#procs    time     adapt     lb      mem 
128 1.72352 0.315886 0.112592 337.432
256 1.00819 0.181976 0.116209 198.51
512 0.621636 0.110175 0.0785037 120.932
1024 0.39394 0.0666422 0.0528318 75.8419
2048 0.222048 0.0383731 0.0361704 40.5001
4096 0.209476 0.0332606 0.0339128 39.8414
