#procs    time     adapt     lb      mem 
32 2.38425 0.531919 1.53256 519.694 0
64 1.66863 0.296616 1.19399 342.102 8.92857e-06
128 1.38954 0.167421 1.12744 252.592 8.92857e-06
256 1.29452 0.102975 1.14646 183.206 8.92857e-06
512 1.38726 0.0666685 1.29475 175.954 8.92857e-06
1024 1.52663 0.0430382 1.46714 202.618 8.92857e-06
2048 1.82351 0.0352 1.77324 211.228 1.78571e-05
4096 2.70113 0.0316737 2.65484 299.648 1.78571e-05
