#procs    time     adapt     lb      mem 
128 1.88084 0.311742 0.155734 359.336
256 1.10614 0.179438 0.173888 198.186
512 0.675413 0.10614 0.132882 117.077
1024 0.474838 0.0703331 0.117861 78.1076
2048 0.312386 0.0413921 0.116236 44.9613
4096 0.321365 0.0390722 0.135335 39.8542
